Date, Close/Last, Volume, Open, High, Low
07/29/2020, $1499.11, 9426893, $1501, $1534.81, $1487
07/28/2020, $1476.49, 15808700, $1504, $1564.7, $1474.42
07/27/2020, $1539.6, 16048670, $1435, $1547.94, $1413.0003
07/24/2020, $1417, 19396620, $1416.01, $1465, $1366.5401
07/23/2020, $1513.07, 24328500, $1678.95, $1689, $1480.77
07/22/2020, $1592.33, 14161080, $1599, $1626.42, $1562
07/21/2020, $1568.36, 16157280, $1639.93, $1675, $1558
07/20/2020, $1643, 17121370, $1519.01, $1650, $1488
07/17/2020, $1500.84, 9329972, $1513.45, $1537.51, $1490
07/16/2020, $1500.64, 14300790, $1477.16, $1531.71, $1466
07/15/2020, $1546.01, 16367830, $1543, $1550, $1457
07/14/2020, $1516.8, 23418140, $1556, $1590, $1431
07/13/2020, $1497.06, 38985360, $1659, $1794.99, $1471.1101
07/10/2020, $1544.65, 23337550, $1396, $1548.915, $1376.0101
07/09/2020, $1394.28, 11717600, $1396.99, $1408.56, $1351.28
07/08/2020, $1365.88, 16311310, $1405, $1417.26, $1311.34
07/07/2020, $1389.86, 21489660, $1405.01, $1429.5, $1336.71
07/06/2020, $1371.58, 20569860, $1276.69, $1377.79, $1266.044
07/02/2020, $1208.66, 17250120, $1221.48, $1228, $1185.6
07/01/2020, $1119.63, 13326900, $1083, $1135.33, $1080.5
06/30/2020, $1079.81, 16918500, $1006.5, $1087.69, $1003.73
06/29/2020, $1009.35, 9026404, $969.01, $1010, $948.5201
